bc1_loss,bc2_loss,epoch,phys_cond_loss,step,time_cond_loss,train_loss
0.038842905312776566,0.1313169300556183,0,0.001293649896979332,0,0.5269345641136169,0.6983880400657654
0.038578398525714874,0.1306528002023697,1,0.0012981799663975835,1,0.5266176462173462,0.697147011756897
0.03831533342599869,0.12999150156974792,2,0.0013027010718360543,2,0.5263024568557739,0.6959120035171509
0.038053736090660095,0.12933307886123657,3,0.0013072130968794227,3,0.5259891152381897,0.6946831345558167
0.03779361769556999,0.12867751717567444,4,0.0013117148773744702,4,0.5256775617599487,0.6934603452682495
0.03753497079014778,0.1280248910188675,5,0.0013162075774744153,5,0.525367796421051,0.6922438144683838
0.037483278661966324,0.12786099314689636,6,0.0013154980260878801,6,0.5252810716629028,0.6919407844543457
0.03741781786084175,0.12765337526798248,7,0.0013145970879122615,7,0.5251712799072266,0.6915570497512817
0.037340499460697174,0.12740805745124817,8,0.0013135295594111085,8,0.5250415205955505,0.6911035776138306
0.037252623587846756,0.12712909281253815,9,0.001312312320806086,9,0.5248939990997314,0.690588116645813
