D_loss,bcx_down_loss,bcx_up_loss,bcy_down_loss,bcy_up_loss,epoch,initial_loss,step,train_loss
4.468861880013719e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,0,0.0,0,4.468861880013719e-05
2.2674788851873018e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,1,0.0,1,2.2674788851873018e-05
1.4505389117402956e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,2,0.0,2,1.4505389117402956e-05
1.5266317859641276e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,3,0.0,3,1.5266317859641276e-05
1.793407318473328e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,4,0.0,4,1.793407318473328e-05
1.803449231374543e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,5,0.0,5,1.803449231374543e-05
1.084926952898968e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,6,0.0,6,1.084926952898968e-05
6.691742783004884e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,7,0.0,7,6.691742783004884e-06
8.892382538761012e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,8,0.0,8,8.892382538761012e-06
1.0641407243383583e-05,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,9,0.0,9,1.0641407243383583e-05
8.754922419029754e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,10,0.0,10,8.754922419029754e-06
6.591188594029518e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,11,0.0,11,6.591188594029518e-06
7.145877134462353e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,12,0.0,12,7.145877134462353e-06
8.388135029235855e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,13,0.0,13,8.388135029235855e-06
7.535322765761521e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,14,0.0,14,7.535322765761521e-06
5.579126536758849e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,15,0.0,15,5.579126536758849e-06
4.81480765301967e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,16,0.0,16,4.81480765301967e-06
5.150244305696106e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,17,0.0,17,5.150244305696106e-06
4.9165464588440955e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,18,0.0,18,4.9165464588440955e-06
3.740206466318341e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,19,0.0,19,3.740206466318341e-06
2.7721753212972544e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,20,0.0,20,2.7721753212972544e-06
2.9167779302952113e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,21,0.0,21,2.9167779302952113e-06
3.3844116842374206e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,22,0.0,22,3.3844116842374206e-06
3.126720002910588e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,23,0.0,23,3.126720002910588e-06
2.593929593786015e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,24,0.0,24,2.593929593786015e-06
2.6465800146979745e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,25,0.0,25,2.6465800146979745e-06
3.08010316985019e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,26,0.0,26,3.08010316985019e-06
3.052561169170076e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,27,0.0,27,3.052561169170076e-06
2.613230662973365e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,28,0.0,28,2.613230662973365e-06
2.431947677905555e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,29,0.0,29,2.431947677905555e-06
2.53149596574076e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,30,0.0,30,2.53149596574076e-06
2.4326118364115246e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,31,0.0,31,2.4326118364115246e-06
2.0290731299610343e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,32,0.0,32,2.0290731299610343e-06
1.7457525700592669e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,33,0.0,33,1.7457525700592669e-06
1.796571496015531e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,34,0.0,34,1.796571496015531e-06
1.7855661553767277e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,35,0.0,35,1.7855661553767277e-06
1.583144012329285e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,36,0.0,36,1.583144012329285e-06
1.4581034974980867e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,37,0.0,37,1.4581034974980867e-06
1.5441792129422538e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,38,0.0,38,1.5441792129422538e-06
1.6364180055461475e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,39,0.0,39,1.6364180055461475e-06
1.5668613286834443e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,40,0.0,40,1.5668613286834443e-06
1.540940274935565e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,41,0.0,41,1.540940274935565e-06
1.6311134913848946e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,42,0.0,42,1.6311134913848946e-06
1.6744681943237083e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,43,0.0,43,1.6744681943237083e-06
1.5973296285665128e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,44,0.0,44,1.5973296285665128e-06
1.5370579831142095e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,45,0.0,45,1.5370579831142095e-06
1.5471701999558718e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,46,0.0,46,1.5471701999558718e-06
1.625204049560125e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,47,0.0,47,1.625204049560125e-06
1.6423155102529563e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,48,0.0,48,1.6423155102529563e-06
1.7376723917550407e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,49,0.0,49,1.7376723917550407e-06
1.8309176539332839e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,50,0.0,50,1.8309176539332839e-06
1.8712560176936677e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,51,0.0,51,1.8712560176936677e-06
2.0033073724334827e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,52,0.0,52,2.0033073724334827e-06
2.0932322968292283e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,53,0.0,53,2.0932322968292283e-06
2.0184272671031067e-06,0.0,2.0551395227806375e-15,0.0,1.9455991044593432e-15,54,0.0,54,2.0184272671031067e-06
