bcx_down_loss,bcx_up_loss,bcy_down_loss,bcy_up_loss,dom_loss,epoch,initial_cond_loss,step,train_loss
0.0,0.0,0.0,0.0,0.0016773476963862777,0,0.2513936460018158,0,0.25307098031044006
0.0,0.0,0.0,0.0,0.0015711219748482108,1,0.2513681650161743,1,0.25293928384780884
0.0,0.0,0.0,0.0,0.0014723059721291065,2,0.2513410151004791,2,0.25281330943107605
0.0,0.0,0.0,0.0,0.001386087853461504,3,0.2513076961040497,3,0.252693772315979
0.0,0.0,0.0,0.0,0.0013075943570584059,4,0.2512677311897278,4,0.2525753378868103
0.0,0.0,0.0,0.0,0.0012395036173984408,5,0.25122204422950745,5,0.2524615526199341
0.0,0.0,0.0,0.0,0.001085402094759047,6,0.25108852982521057,6,0.25217393040657043
0.0,0.0,0.0,0.0,0.0009384248987771571,7,0.2509923577308655,7,0.25193077325820923
0.0,0.0,0.0,0.0,0.0008285668445751071,8,0.2508934736251831,8,0.2517220377922058
0.0,0.0,0.0,0.0,0.000769842357840389,9,0.2507730722427368,9,0.25154292583465576
0.0,0.0,0.0,0.0,0.000744915334507823,10,0.25063949823379517,10,0.2513844072818756
0.0,0.0,0.0,0.0,0.0007518198690377176,11,0.2504984736442566,11,0.251250296831131
0.0,0.0,0.0,0.0,0.0007809416274540126,12,0.2503550052642822,12,0.2511359453201294
0.0,0.0,0.0,0.0,0.0008214081753976643,13,0.25021201372146606,13,0.2510334253311157
0.0,0.0,0.0,0.0,0.0008761840872466564,14,0.25006866455078125,14,0.2509448528289795
0.0,0.0,0.0,0.0,0.0009351437329314649,15,0.24992533028125763,15,0.2508604824542999
0.0,0.0,0.0,0.0,0.000997441355139017,16,0.24978148937225342,16,0.2507789433002472
0.0,0.0,0.0,0.0,0.0010711279464885592,17,0.2496359497308731,17,0.25070708990097046
0.0,0.0,0.0,0.0,0.0011445004492998123,18,0.24948817491531372,18,0.2506326735019684
0.0,0.0,0.0,0.0,0.0012272109743207693,19,0.24933654069900513,19,0.25056374073028564
0.0,0.0,0.0,0.0,0.0013213924830779433,20,0.24918293952941895,20,0.25050434470176697
0.0,0.0,0.0,0.0,0.0014179641148075461,21,0.2490306794643402,21,0.25044864416122437
0.0,0.0,0.0,0.0,0.0015129751991480589,22,0.24888558685779572,22,0.25039854645729065
0.0,0.0,0.0,0.0,0.0016033685533329844,23,0.24874983727931976,23,0.25035321712493896
0.0,0.0,0.0,0.0,0.0016901103081181645,24,0.24862508475780487,24,0.25031518936157227
0.0,0.0,0.0,0.0,0.0017639199504628778,25,0.2485111653804779,25,0.2502750754356384
0.0,0.0,0.0,0.0,0.0018331194296479225,26,0.2484041303396225,26,0.25023725628852844
0.0,0.0,0.0,0.0,0.0018997754668816924,27,0.24830199778079987,27,0.2502017617225647
0.0,0.0,0.0,0.0,0.001956699416041374,28,0.2482057362794876,28,0.25016242265701294
0.0,0.0,0.0,0.0,0.0020120772533118725,29,0.24811674654483795,29,0.2501288056373596
0.0,0.0,0.0,0.0,0.002051091054454446,30,0.24803848564624786,30,0.2500895857810974
0.0,0.0,0.0,0.0,0.0020823958329856396,31,0.24797213077545166,31,0.2500545382499695
0.0,0.0,0.0,0.0,0.002098244382068515,32,0.24792049825191498,32,0.25001874566078186
0.0,0.0,0.0,0.0,0.0020992676727473736,33,0.24788285791873932,33,0.2499821037054062
0.0,0.0,0.0,0.0,0.002080274512991309,34,0.24785441160202026,34,0.24993468821048737
0.0,0.0,0.0,0.0,0.0020706227514892817,35,0.247827410697937,35,0.2498980313539505
0.0,0.0,0.0,0.0,0.002057397272437811,36,0.24779842793941498,36,0.24985583126544952
0.0,0.0,0.0,0.0,0.002050581853836775,37,0.24776668846607208,37,0.24981726706027985
0.0,0.0,0.0,0.0,0.0020508633460849524,38,0.24773620069026947,38,0.24978706240653992
0.0,0.0,0.0,0.0,0.002043026965111494,39,0.24771136045455933,39,0.24975436925888062
0.0,0.0,0.0,0.0,0.002035679994150996,40,0.2476915717124939,40,0.2497272491455078
0.0,0.0,0.0,0.0,0.0020253935363143682,41,0.2476734071969986,41,0.24969881772994995
0.0,0.0,0.0,0.0,0.0020172179210931063,42,0.2476508766412735,42,0.24966809153556824
0.0,0.0,0.0,0.0,0.0020230617374181747,43,0.24761849641799927,43,0.2496415674686432
0.0,0.0,0.0,0.0,0.002032021526247263,44,0.24757352471351624,44,0.24960555136203766
0.0,0.0,0.0,0.0,0.0020518754608929157,45,0.2475140541791916,45,0.2495659440755844
0.0,0.0,0.0,0.0,0.002084271749481559,46,0.24744226038455963,46,0.24952653050422668
0.0,0.0,0.0,0.0,0.002121502533555031,47,0.24736469984054565,47,0.24948622286319733
0.0,0.0,0.0,0.0,0.0021574522834271193,48,0.24728740751743317,48,0.2494448721408844
0.0,0.0,0.0,0.0,0.0021884243469685316,49,0.24721236526966095,49,0.249400794506073
