data_loss_epoch,data_loss_step,epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch,train_loss_step
0.12554149329662323,,0,3,,,0.12554149329662323,
0.11205124855041504,,1,7,,,0.11205124855041504,
0.09634146839380264,,2,11,,,0.09634146839380264,
0.07723333686590195,,3,15,,,0.07723333686590195,
0.05495842546224594,,4,19,,,0.05495842546224594,
0.024633660912513733,,5,23,,,0.024633660912513733,
0.011289802379906178,,6,27,,,0.011289802379906178,
0.008327421732246876,,7,31,,,0.008327421732246876,
0.0026903138495981693,,8,35,,,0.0026903138495981693,
0.004830359946936369,,9,39,,,0.004830359946936369,
0.0015257342020049691,,10,43,,,0.0015257342020049691,
0.001262364094145596,,11,47,,,0.001262364094145596,
,0.0015495142433792353,12,49,,,,0.0015495142433792353
0.0014603064628317952,,12,51,,,0.0014603064628317952,
0.0005479250685311854,,13,55,,,0.0005479250685311854,
0.0008197540882974863,,14,59,,,0.0008197540882974863,
0.0006349264294840395,,15,63,,,0.0006349264294840395,
0.00047304894542321563,,16,67,,,0.00047304894542321563,
0.0005301733617670834,,17,71,,,0.0005301733617670834,
0.00043026305502280593,,18,75,,,0.00043026305502280593,
0.0004408769018482417,,19,79,,,0.0004408769018482417,
0.0004254244267940521,,20,83,,,0.0004254244267940521,
0.000403198559070006,,21,87,,,0.000403198559070006,
0.00040631386218592525,,22,91,,,0.00040631386218592525,
0.0003913579566869885,,23,95,,,0.0003913579566869885,
,0.00044437270844355226,24,99,,,,0.00044437270844355226
0.0003959468740504235,,24,99,,,0.0003959468740504235,
0.000391190784284845,,25,103,,,0.000391190784284845,
0.0003873560344800353,,26,107,,,0.0003873560344800353,
0.0003877346171066165,,27,111,,,0.0003877346171066165,
0.0003849570348393172,,28,115,,,0.0003849570348393172,
0.00038788653910160065,,29,119,,,0.00038788653910160065,
0.00038604732253588736,,30,123,,,0.00038604732253588736,
0.0003845940809696913,,31,127,,,0.0003845940809696913,
0.00038946460699662566,,32,131,,,0.00038946460699662566,
0.00039533842937089503,,33,135,,,0.00039533842937089503,
0.00039237894816324115,,34,139,,,0.00039237894816324115,
0.00039131822995841503,,35,143,,,0.00039131822995841503,
0.00039803414256311953,,36,147,,,0.00039803414256311953,
,0.0003953321138396859,37,149,,,,0.0003953321138396859
0.00040008514770306647,,37,151,,,0.00040008514770306647,
0.000386917672585696,,38,155,,,0.000386917672585696,
0.00038284072070382535,,39,159,,,0.00038284072070382535,
0.0003925217315554619,,40,163,,,0.0003925217315554619,
0.00040635044570080936,,41,167,,,0.00040635044570080936,
0.00039739676867611706,,42,171,,,0.00039739676867611706,
0.00038001485518179834,,43,175,,,0.00038001485518179834,
0.00037999413325451314,,44,179,,,0.00037999413325451314,
0.0004011158016510308,,45,183,,,0.0004011158016510308,
0.00042887608287855983,,46,187,,,0.00042887608287855983,
0.0003872359520755708,,47,191,,,0.0003872359520755708,
0.0003724041162058711,,48,195,,,0.0003724041162058711,
,0.0004101177619304508,49,199,,,,0.0004101177619304508
0.00037338549736887217,,49,199,,,0.00037338549736887217,
0.0004155205679126084,,50,203,,,0.0004155205679126084,
0.00043042085599154234,,51,207,,,0.00043042085599154234,
0.00037186569534242153,,52,211,,,0.00037186569534242153,
0.0003710869059432298,,53,215,,,0.0003710869059432298,
0.00038105997373349965,,54,219,,,0.00038105997373349965,
0.0004196479276288301,,55,223,,,0.0004196479276288301,
0.00038975063944235444,,56,227,,,0.00038975063944235444,
0.0003660036891233176,,57,231,,,0.0003660036891233176,
0.0003661171649582684,,58,235,,,0.0003661171649582684,
0.00039756952901370823,,59,239,,,0.00039756952901370823,
0.0004256857209838927,,60,243,,,0.0004256857209838927,
0.0003747926384676248,,61,247,,,0.0003747926384676248,
,0.00035995504003949463,62,249,,,,0.00035995504003949463
0.0003614679735619575,,62,251,,,0.0003614679735619575,
0.0003659441717900336,,63,255,,,0.0003659441717900336,
0.00039193988777697086,,64,259,,,0.00039193988777697086,
0.00039745139656588435,,65,263,,,0.00039745139656588435,
0.00036602464388124645,,66,267,,,0.00036602464388124645,
0.00035883503733202815,,67,271,,,0.00035883503733202815,
0.00037318019894883037,,68,275,,,0.00037318019894883037,
0.00041692928061820567,,69,279,,,0.00041692928061820567,
0.00040285426075570285,,70,283,,,0.00040285426075570285,
0.00035249977372586727,,71,287,,,0.00035249977372586727,
0.00034871723619289696,,72,291,,,0.00034871723619289696,
0.00036673209979198873,,73,295,,,0.00036673209979198873,
,0.0004038539482280612,74,299,,,,0.0004038539482280612
0.0004157350631430745,,74,299,,,0.0004157350631430745,
0.0003696235944516957,,75,303,,,0.0003696235944516957,
0.0003399750276003033,,76,307,,,0.0003399750276003033,
0.00034097954630851746,,77,311,,,0.00034097954630851746,
0.0003897160931956023,,78,315,,,0.0003897160931956023,
0.0003745035792235285,,79,319,,,0.0003745035792235285,
0.0003279313095845282,,80,323,,,0.0003279313095845282,
0.00032530768658034503,,81,327,,,0.00032530768658034503,
0.00036198238376528025,,82,331,,,0.00036198238376528025,
0.0003850283974315971,,83,335,,,0.0003850283974315971,
0.0003179628401994705,,84,339,,,0.0003179628401994705,
0.0003014956892002374,,85,343,,,0.0003014956892002374,
0.00032669215579517186,,86,347,,,0.00032669215579517186,
,0.00036374470801092684,87,349,,,,0.00036374470801092684
0.0003550774126779288,,87,351,,,0.0003550774126779288,
0.0002958195982500911,,88,355,,,0.0002958195982500911,
0.0002761310606729239,,89,359,,,0.0002761310606729239,
0.00029760514735244215,,90,363,,,0.00029760514735244215,
0.00032171563361771405,,91,367,,,0.00032171563361771405,
0.0002683845814317465,,92,371,,,0.0002683845814317465,
0.0002538767585065216,,93,375,,,0.0002538767585065216,
0.0002659382298588753,,94,379,,,0.0002659382298588753,
