D_loss,bcx_down_loss,bcx_up_loss,bcy_down_loss,bcy_up_loss,epoch,initial_loss,step,train_loss
0.035770684480667114,0.0,0.0,0.0,0.0,0,0.24771027266979218,0,0.2834809422492981
0.034094277769327164,0.0,0.0,0.0,0.0,1,0.24753722548484802,1,0.2816315293312073
0.03247123211622238,0.0,0.0,0.0,0.0,2,0.24736444652080536,2,0.27983567118644714
0.030910037457942963,0.0,0.0,0.0,0.0,3,0.24719208478927612,3,0.2781020998954773
0.029385007917881012,0.0,0.0,0.0,0.0,4,0.24702036380767822,4,0.27640536427497864
0.02789069153368473,0.0,0.0,0.0,0.0,5,0.2468491792678833,5,0.2747398614883423
0.0237300843000412,0.0,0.0,0.0,0.0,6,0.24633756279945374,6,0.27006763219833374
0.019971642643213272,0.0,0.0,0.0,0.0,7,0.24582946300506592,7,0.2658011317253113
0.016613323241472244,0.0,0.0,0.0,0.0,8,0.2453274130821228,8,0.26194074749946594
0.013690979219973087,0.0,0.0,0.0,0.0,9,0.2448333501815796,9,0.2585243284702301
