bc1_loss,bc2_loss,epoch,phys_cond_loss,step,time_cond_loss,train_loss
0.044377401471138,0.0576503649353981,0,0.0008863413822837174,0,0.6837468147277832,0.7866608500480652
0.04409592226147652,0.05712615326046944,1,0.0008872061152942479,1,0.6831167340278625,0.785226047039032
0.04381600022315979,0.056605394929647446,2,0.0008880929672159255,2,0.6824895739555359,0.7837991714477539
0.04353765398263931,0.056088101118803024,3,0.0008890017052181065,3,0.6818657517433167,0.7823804616928101
0.04326089844107628,0.05557427927851677,4,0.0008899325621314347,4,0.6812447905540466,0.7809699177742004
0.04298572242259979,0.05506395176053047,5,0.0008908852469176054,5,0.6806269884109497,0.779567539691925
0.04294634237885475,0.05492547154426575,6,0.0008898506057448685,6,0.6804525256156921,0.7792142629623413
0.042896516621112823,0.05475015565752983,7,0.0008885451243259013,7,0.6802316904067993,0.7787668704986572
0.04283768683671951,0.054543137550354004,8,0.000887008267454803,8,0.6799704432487488,0.7782382965087891
0.042770881205797195,0.0543079674243927,9,0.0008852696046233177,9,0.6796733140945435,0.7776374220848083
0.04269687831401825,0.05404733493924141,10,0.0008833520696498454,10,0.6793435215950012,0.7769709825515747
0.042616281658411026,0.053763438016176224,11,0.0008812741725705564,11,0.6789835691452026,0.7762445211410522
0.04252967610955238,0.05345806106925011,12,0.0008790527936071157,12,0.6785959005355835,0.7754626870155334
0.04243750497698784,0.05313275009393692,13,0.0008767028339207172,13,0.6781817674636841,0.774628758430481
0.04234020784497261,0.05278881639242172,14,0.000874237681273371,14,0.6777430772781372,0.7737463116645813
0.04223819822072983,0.05242746323347092,15,0.0008716699085198343,15,0.677280843257904,0.7728181481361389
0.04213181883096695,0.05204968526959419,16,0.0008690116228535771,16,0.6767964959144592,0.7718470096588135
0.04202144965529442,0.05165644735097885,17,0.0008662732434459031,17,0.67629075050354,0.7708349227905273
0.041907429695129395,0.05124862119555473,18,0.0008634657715447247,18,0.6757646799087524,0.7697842121124268
0.04179004952311516,0.05082698538899422,19,0.0008605988114140928,19,0.6752189993858337,0.7686966061592102
0.041669610887765884,0.0503922738134861,20,0.000857681327033788,20,0.6746545433998108,0.7675741314888
0.04154635965824127,0.04994519427418709,21,0.0008547223987989128,21,0.6740717887878418,0.7664180994033813
0.04142051935195923,0.04948636144399643,22,0.000851728895213455,22,0.6734716296195984,0.7652302980422974
0.04129233583807945,0.04901643842458725,23,0.0008487086743116379,23,0.6728546023368835,0.7640120983123779
0.041161954402923584,0.04853600636124611,24,0.0008456681971438229,24,0.6722211837768555,0.7627648115158081
0.041029542684555054,0.048045605421066284,25,0.000842613575514406,25,0.6715720891952515,0.7614898681640625
0.04089526832103729,0.04754580557346344,26,0.0008395506301894784,26,0.6709077954292297,0.7601884007453918
0.04075925797224045,0.04703711345791817,27,0.0008364845998585224,27,0.6702288389205933,0.7588617205619812
0.04062162712216377,0.04651999846100807,28,0.0008334199083037674,28,0.6695356369018555,0.7575106620788574
0.04048248752951622,0.04599498212337494,29,0.000830361619591713,29,0.6688287854194641,0.7561365365982056
0.04034193605184555,0.04546251520514488,30,0.0008273142157122493,30,0.6681086421012878,0.7547404170036316
0.040200069546699524,0.04492305591702461,31,0.0008242811309173703,31,0.6673756837844849,0.7533230781555176
0.04005695879459381,0.04437703266739845,32,0.0008212661487050354,32,0.6666305661201477,0.7518858313560486
0.03991268575191498,0.04382489621639252,33,0.0008182723540812731,33,0.6658734083175659,0.7504292726516724
0.039767295122146606,0.043267037719488144,34,0.0008153032977133989,34,0.6651048064231873,0.7489544153213501
0.03962084278464317,0.04270387440919876,35,0.0008123615407384932,35,0.6643251180648804,0.7474622130393982
0.03947339206933975,0.04213577136397362,36,0.0008094494696706533,36,0.6635347008705139,0.7459533214569092
0.03932497650384903,0.041563134640455246,37,0.0008065698784776032,37,0.6627339124679565,0.7444285750389099
0.03917565196752548,0.04098634794354439,38,0.000803725270088762,38,0.661923348903656,0.7428890466690063
0.0390254482626915,0.0404057614505291,39,0.0008009174489416182,39,0.6611031889915466,0.7413353323936462
0.038874417543411255,0.03982171416282654,40,0.0007981485105119646,40,0.6602739095687866,0.7397682070732117
0.038722578436136246,0.039234571158885956,41,0.0007954203756526113,41,0.6594356894493103,0.7381882667541504
0.03856998309493065,0.038644690066576004,42,0.0007927349070087075,42,0.6585891842842102,0.7365965843200684
0.03841666504740715,0.03805236145853996,43,0.000790093676187098,43,0.6577343344688416,0.7349934577941895
0.03826266527175903,0.03745793551206589,44,0.000787498545832932,44,0.6568718552589417,0.7333799600601196
0.038108017295598984,0.03686169907450676,45,0.0007849510293453932,45,0.6560018062591553,0.7317563891410828
0.037952762097120285,0.03626398742198944,46,0.0007824526983313262,46,0.6551244258880615,0.7301236391067505
0.037796925753355026,0.03566509485244751,47,0.0007800048915669322,47,0.6542402505874634,0.728482186794281
0.03764057159423828,0.03506530448794365,48,0.0007776088896207511,48,0.6533494591712952,0.726832926273346
0.03748372942209244,0.03446489945054054,49,0.0007752662640996277,49,0.6524522304534912,0.7251761555671692
0.037326421588659286,0.03386417776346207,50,0.0007729778881184757,50,0.6515489816665649,0.7235125303268433
0.0371687151491642,0.03326338529586792,51,0.0007707449840381742,51,0.6506399512290955,0.7218428254127502
0.03701063618063927,0.032662831246852875,52,0.0007685692398808897,52,0.6497254967689514,0.7201674580574036
0.03685222566127777,0.03206273168325424,53,0.000766451470553875,53,0.6488056778907776,0.718487024307251
0.03669353201985359,0.031463366001844406,54,0.0007643923163414001,54,0.6478808522224426,0.7168020606040955
0.036534588783979416,0.030864989385008812,55,0.0007623931742273271,55,0.6469512581825256,0.7151132225990295
0.03637543320655823,0.030267836526036263,56,0.000760455266572535,56,0.6460171937942505,0.7134209275245667
0.036216121166944504,0.029672153294086456,57,0.0007585788262076676,57,0.6450786590576172,0.7117255330085754
0.036056678742170334,0.02907816879451275,58,0.0007567651337012649,58,0.6441361904144287,0.710027813911438
0.0358971506357193,0.02848612517118454,59,0.0007550150039605796,59,0.6431897878646851,0.7083280682563782
0.03573757782578468,0.027896225452423096,60,0.000753329077269882,60,0.6422396898269653,0.706626832485199
0.03557799383997917,0.02730870060622692,61,0.0007517083431594074,61,0.641286313533783,0.7049247622489929
0.035418443381786346,0.026723770424723625,62,0.0007501536165364087,62,0.6403294801712036,0.7032217383384705
0.03525895997881889,0.026141636073589325,63,0.0007486653048545122,63,0.639369785785675,0.7015190720558167
0.035099588334560394,0.02556249499320984,64,0.000747244106605649,64,0.638407289981842,0.6998166441917419
