bc0_loss,bc1_loss,epoch,phys_loss,step,train_loss
0.005289079155772924,0.013781408779323101,0,3021024.25,0,3021024.25
0.0013660414842888713,0.015859635546803474,1,3021022.0,1,3021022.0
9.667472795626963e-07,0.018096422776579857,2,3021019.5,2,3021019.5
0.001250606612302363,0.02052810788154602,3,3021017.25,3,3021017.25
0.005202820990234613,0.023275883868336678,4,3021015.0,4,3021015.0
0.011969202198088169,0.026468424126505852,5,3021012.0,5,3021012.0
0.050549305975437164,0.03949133679270744,6,3021003.75,6,3021003.75
0.11929381638765335,0.06033303961157799,7,3020994.25,7,3020994.5
0.22172488272190094,0.09414182603359222,8,3020982.5,8,3020982.75
0.36173638701438904,0.14877191185951233,9,3020968.5,9,3020969.0
0.5439438223838806,0.23600907623767853,10,3020951.5,10,3020952.25
0.7742049694061279,0.3725892901420593,11,3020930.75,11,3020932.0
1.0605244636535645,0.5806349515914917,12,3020904.75,12,3020906.5
1.4142440557479858,0.8871311545372009,13,3020872.5,13,3020874.75
1.8529753684997559,1.3211653232574463,14,3020832.75,14,3020836.0
2.401204824447632,1.9119960069656372,15,3020783.5,15,3020787.75
3.0898659229278564,2.6877593994140625,16,3020723.0,16,3020728.75
3.9559214115142822,3.6743810176849365,17,3020650.0,17,3020657.75
5.04180383682251,4.893810749053955,18,3020563.0,18,3020573.0
6.393270492553711,6.363241195678711,19,3020460.5,19,3020473.25
8.056727409362793,8.094528198242188,20,3020342.5,20,3020358.75
10.071879386901855,10.09708023071289,21,3020209.5,21,3020229.75
12.464970588684082,12.37809944152832,22,3020064.5,22,3020089.25
15.243436813354492,14.940323829650879,23,3019911.5,23,3019941.75
18.39116096496582,17.77893829345703,24,3019758.0,24,3019794.25
21.867630004882812,20.873920440673828,25,3019613.0,25,3019655.75
25.610013961791992,24.17742156982422,26,3019489.75,26,3019539.5
29.53359603881836,27.596946716308594,27,3019401.5,27,3019458.75
33.51945114135742,30.982521057128906,28,3019360.0,28,3019424.5
37.376861572265625,34.145111083984375,29,3019369.0,29,3019440.5
40.817283630371094,36.918182373046875,30,3019414.25,30,3019492.0
