D_loss,bcx_down_loss,bcx_up_loss,bcy_down_loss,bcy_up_loss,epoch,initial_loss,step,train_loss
0.05430405214428902,0.0,0.0,0.0,0.0,0,0.23941153287887573,0,0.29371559619903564
0.051301509141922,0.0,0.0,0.0,0.0,1,0.2396603375673294,1,0.2909618616104126
0.04832955449819565,0.0,0.0,0.0,0.0,2,0.23990888893604279,2,0.28823843598365784
0.045524999499320984,0.0,0.0,0.0,0.0,3,0.24015702307224274,3,0.2856820225715637
0.04278188198804855,0.0,0.0,0.0,0.0,4,0.24040432274341583,4,0.2831861972808838
0.04018083214759827,0.0,0.0,0.0,0.0,5,0.24065105617046356,5,0.28083187341690063
0.03300167992711067,0.0,0.0,0.0,0.0,6,0.24139200150966644,6,0.2743937075138092
0.026631981134414673,0.0,0.0,0.0,0.0,7,0.24212586879730225,7,0.2687578797340393
0.021123021841049194,0.0,0.0,0.0,0.0,8,0.24284519255161285,8,0.26396822929382324
0.016469161957502365,0.0,0.0,0.0,0.0,9,0.2435459941625595,9,0.2600151598453522
0.012600474059581757,0.0,0.0,0.0,0.0,10,0.24422197043895721,10,0.2568224370479584
0.00944137666374445,0.0,0.0,0.0,0.0,11,0.24486902356147766,11,0.25431039929389954
0.006915774196386337,0.0,0.0,0.0,0.0,12,0.24548466503620148,12,0.2524004280567169
0.004982015583664179,0.0,0.0,0.0,0.0,13,0.2460644394159317,13,0.25104644894599915
0.00356095633469522,0.0,0.0,0.0,0.0,14,0.24660342931747437,14,0.2501643896102905
0.002605997957289219,0.0,0.0,0.0,0.0,15,0.24709878861904144,15,0.24970480799674988
0.0020268650259822607,0.0,0.0,0.0,0.0,16,0.24754679203033447,16,0.24957366287708282
0.0017269579693675041,0.0,0.0,0.0,0.0,17,0.2479439526796341,17,0.24967089295387268
0.0016300248680636287,0.0,0.0,0.0,0.0,18,0.2482864111661911,18,0.2499164491891861
0.0016748906346037984,0.0,0.0,0.0,0.0,19,0.2485712617635727,19,0.25024616718292236
0.0018017074326053262,0.0,0.0,0.0,0.0,20,0.24879693984985352,20,0.25059863924980164
0.0019266505260020494,0.0,0.0,0.0,0.0,21,0.24896232783794403,21,0.25088897347450256
0.0020368958357721567,0.0,0.0,0.0,0.0,22,0.24906884133815765,22,0.25110572576522827
0.0020904226694256067,0.0,0.0,0.0,0.0,23,0.24912026524543762,23,0.25121068954467773
0.002079765312373638,0.0,0.0,0.0,0.0,24,0.24912157654762268,24,0.251201331615448
0.002024539979174733,0.0,0.0,0.0,0.0,25,0.2490784227848053,25,0.2511029541492462
0.001914975349791348,0.0,0.0,0.0,0.0,26,0.24899694323539734,26,0.2509119212627411
0.0017796645406633615,0.0,0.0,0.0,0.0,27,0.2488827258348465,27,0.2506623864173889
0.0016196547076106071,0.0,0.0,0.0,0.0,28,0.24874147772789001,28,0.2503611445426941
0.0014595448737964034,0.0,0.0,0.0,0.0,29,0.24857816100120544,29,0.25003769993782043
0.0013179845409467816,0.0,0.0,0.0,0.0,30,0.24839730560779572,30,0.24971529841423035
0.0012057210551574826,0.0,0.0,0.0,0.0,31,0.24820373952388763,31,0.24940946698188782
0.0011271601542830467,0.0,0.0,0.0,0.0,32,0.24800187349319458,32,0.2491290271282196
0.001092726131901145,0.0,0.0,0.0,0.0,33,0.24779583513736725,33,0.24888856709003448
0.001101006055250764,0.0,0.0,0.0,0.0,34,0.24758915603160858,34,0.2486901581287384
0.001147422706708312,0.0,0.0,0.0,0.0,35,0.24738523364067078,35,0.24853265285491943
0.0012260450748726726,0.0,0.0,0.0,0.0,36,0.2471870332956314,36,0.2484130710363388
0.0013381975004449487,0.0,0.0,0.0,0.0,37,0.2469974309206009,37,0.24833562970161438
0.00146845867857337,0.0,0.0,0.0,0.0,38,0.24681882560253143,38,0.24828729033470154
0.0016164620174095035,0.0,0.0,0.0,0.0,39,0.24665337800979614,39,0.24826984107494354
0.0017646882915869355,0.0,0.0,0.0,0.0,40,0.24650293588638306,40,0.24826762080192566
0.0019084775121882558,0.0,0.0,0.0,0.0,41,0.246368870139122,41,0.24827733635902405
0.0020391568541526794,0.0,0.0,0.0,0.0,42,0.24625231325626373,42,0.24829146265983582
0.0021538257133215666,0.0,0.0,0.0,0.0,43,0.24615390598773956,43,0.2483077347278595
0.002242092043161392,0.0,0.0,0.0,0.0,44,0.24607379734516144,44,0.24831587076187134
0.0023008829448372126,0.0,0.0,0.0,0.0,45,0.24601177871227264,45,0.24831266701221466
0.002333044772967696,0.0,0.0,0.0,0.0,46,0.24596717953681946,46,0.2483002245426178
0.0023393689189106226,0.0,0.0,0.0,0.0,47,0.2459389716386795,47,0.24827831983566284
0.0023240549489855766,0.0,0.0,0.0,0.0,48,0.24592575430870056,48,0.248249813914299
0.002283298410475254,0.0,0.0,0.0,0.0,49,0.24592606723308563,49,0.2482093721628189
