data_loss_epoch,epoch,step,test_loss_epoch,test_loss_step,train_loss_epoch
0.1325434446334839,0,3,,,0.1325434446334839
0.11647145450115204,1,7,,,0.11647145450115204
0.10467202216386795,2,11,,,0.10467202216386795
0.08920769393444061,3,15,,,0.08920769393444061
0.07172134518623352,4,19,,,0.07172134518623352
0.04307982325553894,5,23,,,0.04307982325553894
0.012281278148293495,6,27,,,0.012281278148293495
0.011642372235655785,7,31,,,0.011642372235655785
0.006661972962319851,8,35,,,0.006661972962319851
0.0028202838730067015,9,39,,,0.0028202838730067015
,,0,,0.0028929596301168203,
,10,40,0.0028929596301168203,,
