# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0195          	smoothSolver	2.72270090e-02	1.46573210e-03	2	3.40916550e-02	1.94843820e-03	2	false	GAMG	1.66005440e-01	7.44078560e-03	1	true
0.02            	smoothSolver	2.76392400e-02	1.46708830e-03	2	3.39773990e-02	1.96412070e-03	2	false	GAMG	1.48348390e-01	9.73773360e-03	1	true
0.0205          	smoothSolver	2.69603790e-02	1.40671640e-03	2	3.25224060e-02	1.80811070e-03	2	false	GAMG	1.09078410e-01	6.26084800e-03	1	true
0.021           	smoothSolver	2.65816220e-02	1.43419660e-03	2	3.18727300e-02	1.85254040e-03	2	false	GAMG	1.04924130e-01	7.75639590e-03	1	true
0.0215          	smoothSolver	2.59542140e-02	1.37607210e-03	2	3.14028410e-02	1.70323880e-03	2	false	GAMG	7.34486370e-02	4.59877850e-03	1	true
0.022           	smoothSolver	2.55390720e-02	1.34740190e-03	2	3.09912330e-02	1.67666820e-03	2	false	GAMG	5.61789560e-02	3.72568740e-03	1	true
0.0225          	smoothSolver	2.52563620e-02	1.31555690e-03	2	3.00412090e-02	1.60526060e-03	2	false	GAMG	5.28975970e-02	2.07478600e-03	1	true
0.023           	smoothSolver	2.52234100e-02	1.32498070e-03	2	2.93665840e-02	1.59208030e-03	2	false	GAMG	3.15455000e-02	2.25880030e-03	1	true
0.0235          	smoothSolver	2.50408650e-02	1.29977070e-03	2	2.85117540e-02	1.51755630e-03	2	false	GAMG	2.70751840e-02	2.04062400e-03	1	true
0.024           	smoothSolver	2.50484160e-02	1.28476820e-03	2	2.78363590e-02	1.46333650e-03	2	false	GAMG	3.23940990e-02	1.83452220e-03	1	true
0.0245          	smoothSolver	2.50796700e-02	1.28845880e-03	2	2.71534980e-02	1.42268260e-03	2	false	GAMG	2.88012130e-02	2.02183770e-03	1	true
0.025           	smoothSolver	2.52293890e-02	1.28269260e-03	2	2.68190170e-02	1.43372210e-03	2	false	GAMG	1.79109160e-02	1.36662930e-03	1	true
0.0255          	smoothSolver	2.52561060e-02	1.26316630e-03	2	2.62446840e-02	1.34697750e-03	2	false	GAMG	2.54512640e-02	1.28993490e-03	1	true
0.026           	smoothSolver	2.51772370e-02	1.24296500e-03	2	2.57578120e-02	1.31554730e-03	2	false	GAMG	3.01011160e-02	1.81180810e-03	1	true
0.0265          	smoothSolver	2.50089430e-02	1.24740460e-03	2	2.55315530e-02	1.28375890e-03	2	false	GAMG	2.50525100e-02	2.37795610e-03	1	true
0.027           	smoothSolver	2.65222210e-02	1.26661360e-03	2	2.59824060e-02	1.27969800e-03	2	false	GAMG	1.83610770e-02	1.44476380e-03	1	true
0.0275          	smoothSolver	2.61374350e-02	1.23536760e-03	2	2.50394210e-02	1.22354500e-03	2	false	GAMG	2.07480130e-02	9.25766620e-04	1	true
0.028           	smoothSolver	2.57788320e-02	1.21464280e-03	2	2.43520040e-02	1.17635230e-03	2	false	GAMG	1.90886110e-02	9.29883570e-04	1	true
0.0285          	smoothSolver	2.47760020e-02	1.17456170e-03	2	2.39870880e-02	1.13900530e-03	2	false	GAMG	1.24711590e-02	8.43080240e-04	1	true
0.029           	smoothSolver	2.43765240e-02	1.13917430e-03	2	2.37360570e-02	1.12661520e-03	2	false	GAMG	2.01681810e-02	1.34967410e-03	1	true
0.0295          	smoothSolver	2.41998230e-02	1.12131460e-03	2	2.35335450e-02	1.10197430e-03	2	false	GAMG	2.81997630e-02	1.53445110e-03	1	true
0.03            	smoothSolver	2.37846790e-02	1.09255430e-03	2	2.33693760e-02	1.11284450e-03	2	false	GAMG	6.59827990e-02	1.51279200e-03	1	true
0.0305          	smoothSolver	2.36149740e-02	1.09026920e-03	2	2.31240810e-02	1.10286250e-03	2	false	GAMG	9.15961430e-02	5.04248430e-03	1	true
0.031           	smoothSolver	2.34528750e-02	1.08138810e-03	2	2.29705010e-02	1.08349670e-03	2	false	GAMG	5.34842000e-02	4.21706430e-03	1	true
0.0315          	smoothSolver	2.33609070e-02	1.08670400e-03	2	2.28697330e-02	1.08744240e-03	2	false	GAMG	4.87397960e-02	3.29649700e-03	1	true
0.032           	smoothSolver	2.32666440e-02	1.09123710e-03	2	2.28343120e-02	1.10020810e-03	2	false	GAMG	3.57353410e-02	3.00386530e-03	1	true
0.0325          	smoothSolver	2.30850700e-02	1.08909720e-03	2	2.27420630e-02	1.10898820e-03	2	false	GAMG	1.85335090e-02	1.16596960e-03	1	true
0.033           	smoothSolver	2.30119760e-02	1.08495670e-03	2	2.27845140e-02	1.11216370e-03	2	false	GAMG	2.15533920e-02	1.68887570e-03	1	true
0.0335          	smoothSolver	2.27278070e-02	1.06860840e-03	2	2.26697390e-02	1.10308670e-03	2	false	GAMG	2.49657530e-02	1.86850590e-03	1	true
0.034           	smoothSolver	2.25087860e-02	1.05570050e-03	2	2.26016310e-02	1.09904550e-03	2	false	GAMG	3.33250830e-02	2.11115430e-03	1	true
0.0345          	smoothSolver	2.22803890e-02	1.03862340e-03	2	2.25210260e-02	1.08331440e-03	2	false	GAMG	2.37230220e-02	1.90382330e-03	1	true
0.035           	smoothSolver	2.20505130e-02	1.03274930e-03	2	2.23872140e-02	1.08306690e-03	2	false	GAMG	3.27603610e-02	2.71658770e-03	1	true
0.0355          	smoothSolver	2.17745840e-02	1.02899670e-03	2	2.22740410e-02	1.08176550e-03	2	false	GAMG	3.06958820e-02	2.30588800e-03	1	true
